10059010;Grovfor til storfe;Hele maisplanter, med maiskolbe, som er finsnittet og ensilert/konservert uten tilsetninger i store plansiloer med plast på toppen. Dette blir lastet opp i lastebil og kjørt i bulk til Norge eller blir presset i runde baller med plast på utsiden. Brukes som grovfor til storfe.
10062090;Fullkorns basmatiris 500 gram;"Varen er ukokt, avskallet ""brown"" fullkorns basmatiris uten andre tilsetninger. Koketid ca. 25 minutt. Pakningsstørrelse: 500g."
10062090;Ris;Varen er avlange, avskallede rå riskorn av thailandsk brun ris. Koketid 45 minutter. Pakket i plastpose à 1 kg.
10062090;Ris;"Varen ukokt, avskallet, upolert, ""svart jasmineris"". Ingredienser: rice berry. Emballasje: plastforpakning à 1 kg."
10062090;Ris;"Varen langkornet, avskallet, upolert ris, som er rødbrun i fargen. Ingredienser: rød ""cargo"" ris. Emballasje: plastforpakning à 1 kg."
10063080;Ukokt ris;Varen er ukokt basmati ris uten andre tilsetninger, som kun har gjennomgått en prosess der den renses og poleres uten noen form for varmebehandling. Oppgitt koketid på emballasjen er 10 minutter. Risen foreligger i en eske med 4 porsjonspakninger for 2 personer, såkalt «boil in bag».
10063080;Ukokt ris;Varen er ukokt basmati ris uten andre tilsetninger, som kun har gjennomgått en prosess der den renses og poleres uten noen form for varmebehandling. Oppgitt koketid på emballasjen er 10 minutter. Risen foreligger i en eske med 4 porsjonspakninger for 2 personer, såkalt «boil in bag».
10063080;Ris;Varen er polert, hvit basmatiris. Ikke forkokt. Bruksområde: Middagsris til kjøtt, fisk og grønnsaker. Risen skal ifølge etiketten koke i ca. 15 minutter og stå og trekke i ca. 5 minutter. Risen er pakket i en pappeske med nettovekt 700g.
10063080;Ris;Varen er polert ris, ikke forkokt, til bruk i sushiretter. Emballasje: pappforpakning à 1 kg, inneholdende to plastforpakninger à 500 gram.
10063080;Basmatiris 500 gram;Varen er ukokt, helslipt og polert basmatiris uten andre tilsetninger. Koketid ca. 10-12 minutter. Pakningsstørrelse: 500g.
10063080;Ris;Varen er ukokt og helslipt ris. Varen skal kokes i 45 minutter. Varen er embalert i plastpose a 1 kg.
10063080;Ris;Varen er ukokt og helslipt ris (100 %) uten tilsetninger (koketid 25-30 min). Varen er pakket i plastpose a 1 kg.
10063080;Ris/ Paella sett;"Varen er ukokt, rundkornet, hvit ris som er velegnet til bruk i retten paella. Risen har høy absorpsjonskapasitet som gjør at risen er i stand til å tilføre mere smak og væske enn andre rissorter. Den har koketid på cirka 16 minutter. Risen foreligger i en pakning / sett for fremstilling av paella som består av ris (spansk ""Bomba"" ris), exstra virgin olivenolje, 1 pose krydder miks og en steke/kokepanne i metall velegnet for tillaging av f.eks. paella."
10063080;ris;Varen er ukokt, polert jasminris. Koketid 18 minutt og 10 min svelling etterpå. Risen foreligger i pakning à 20 kg.
10063080;Ris ukokt;"Varen er ukokt jasmin ris uten andre tilsetninger, som kun gjennomgått en prosess der den renses og poleres uten noen form
for varmebehandling. Oppgitt koketid på emballasjen er 10 minutter. Risen lforeligger i en eske med 4 porsjonspakninger for 2 personer, såkalt «boil in bag»."
10063080;Ris;Varen er ukokt, slipt ris, som foreligger som matthvite og ugjennomsiktige korn. Ingredienser: søt ris. Emballasje: forpakning à 20 kg.
